车辆ID,车型,第几趟,停靠序号,类型,客户原始ID,是否绿色区客户,到达时刻,离开时刻,该点重量kg,该点体积m3,该点订单编号,累计载重kg,累计体积m3,路线总距离km,行驶能耗元,惩罚元,CO2kg,限行违规
14,燃油3000,1,1,客户46,46,否,11:11,11:32,319.84,1.049,"[336, 355, 402, 635, 658, 695, 770, 817, 850, 1021, 1027, 1130, 1147, 1157, 1186, 1227, 1277, 1305, 1331, 1504, 1545, 1549, 1578, 1585, 1983, 2000, 2022, 2076, 2077, 2113, 2119, 2151, 2168]",,,,,,,
14,燃油3000,1,2,客户35,35,否,12:21,12:41,1692.58,3.884,"[397, 449, 475, 771, 857, 946, 1195, 1242, 1264, 1333, 1633, 1661, 1687, 1785]",,,,,,,
14,燃油3000,1,3,客户32,32,否,13:04,13:28,442.33,1.125,"[679, 855, 873, 1189, 1462, 1517, 1524, 1966, 2028, 2046, 2163]",,,,,,,
14,燃油3000,1,4,客户61,61,否,13:44,14:04,14.07,0.043,"[439, 464, 472, 555, 656, 659, 660, 702, 708, 778, 788, 810, 975, 977, 1067, 1080, 1087, 1103, 1108, 1132, 1136, 1241, 1251, 1345, 1379, 1469, 1529, 1535, 1555, 1825, 1838, 1903, 1934, 2015, 2059, 2099, 2143]",,,,,,,
14,燃油3000,1,5,配送中心(返回),,,15:06,,,,,,,,,,,
14,燃油3000,2,0,配送中心(出发),,,,15:09,,,,2951.71,7.87,132.96,383.12,18.44,105.32,否
14,燃油3000,2,1,客户36,36,否,16:43,17:03,309.25,0.963,"[484, 497, 562, 586, 818, 874, 989, 1026, 1138, 1279, 1289, 1411, 1552, 1705, 1869, 2034, 2162]",,,,,,,
14,燃油3000,2,2,客户24,24,否,17:14,17:34,1262.17,2.956,"[385, 617, 1384, 1509, 2024]",,,,,,,
14,燃油3000,2,3,客户80,80,否,17:48,18:08,506.34,1.903,"[513, 694, 751, 835, 839, 1085, 1353, 1724, 2100]",,,,,,,
14,燃油3000,2,4,客户29,29,否,18:29,18:49,873.94,2.048,"[334, 1011, 1139]",,,,,,,
14,燃油3000,2,5,配送中心(返回),,,20:15,,,,,,,,,,,
14,燃油3000,3,0,配送中心(出发),,,,20:18,,,,2784.5,8.096,33.06,93.85,42.2,25.8,否
14,燃油3000,3,1,客户47,47,否,20:46,21:06,2784.5,8.096,"[339, 363, 393, 445, 453, 492, 501, 503, 567, 574, 638, 736, 775, 879, 881, 907, 953, 967, 1048, 1081, 1094, 1301, 1358, 1400, 1414, 1542, 1622, 1625, 1630, 1635, 1649, 1652, 1716, 1752, 1917, 2023, 2033, 2126]",,,,,,,
14,燃油3000,3,2,配送中心(返回),,,21:34,,,,,,,,,,,
15,新能源3000,1,0,配送中心(出发),,,,9:37,,,,3000.0,9.838,130.4,103.58,0.29,26.4,否
15,新能源3000,1,1,客户46,46,否,11:11,11:32,3000.0,9.838,"[336, 355, 402, 635, 658, 695, 770, 817, 850, 1021, 1027, 1130, 1147, 1157, 1186, 1227, 1277, 1305, 1331, 1504, 1545, 1549, 1578, 1585, 1983, 2000, 2022, 2076, 2077, 2113, 2119, 2151, 2168]",,,,,,,
15,新能源3000,1,2,配送中心(返回),,,13:55,,,,,,,,,,,
15,新能源3000,2,0,配送中心(出发),,,,13:58,,,,2413.68,7.28,42.92,32.88,21.8,8.38,否
15,新能源3000,2,1,客户49,49,否,14:16,14:36,1486.84,4.487,"[375, 392, 415, 448, 454, 552, 576, 579, 585, 606, 609, 648, 785, 828, 866, 895, 941, 954, 1037, 1062, 1169, 1196, 1216, 1272, 1339, 1343, 1351, 1446, 1460, 1526, 1558, 1579, 1597, 1619, 1631, 1727, 1777, 1802, 1822, 1864, 1902, 1960, 2039, 2106, 2146, 2147]",,,,,,,
15,新能源3000,2,2,客户83,83,否,14:55,15:15,926.84,2.793,"[305, 437, 476, 547, 805, 934, 1296, 1591, 1801, 1874]",,,,,,,
15,新能源3000,2,3,配送中心(返回),,,15:30,,,,,,,,,,,
15,新能源3000,3,0,配送中心(出发),,,,15:33,,,,2841.47,7.309,110.13,86.19,22.61,21.97,否
15,新能源3000,3,1,客户69,69,否,17:13,17:33,2288.89,6.064,"[306, 322, 430, 685, 801, 827, 836, 877, 884, 944, 980, 1010, 1015, 1288, 1315, 1433, 1448, 1480, 1518, 1584, 1620, 1672, 1678, 1709, 1794, 1819, 1833, 1852, 1880, 1941, 2013, 2108]",,,,,,,
15,新能源3000,3,2,客户65,65,否,17:46,18:06,552.59,1.245,"[349, 358, 381, 460, 531, 541, 557, 568, 569, 631, 633, 640, 649, 722, 723, 755, 782, 807, 888, 904, 916, 979, 993, 1013, 1061, 1110, 1135, 1265, 1271, 1281, 1282, 1317, 1325, 1366, 1392, 1403, 1464, 1576, 1589, 1660, 1721, 1725, 1732, 1737, 1913, 1930, 1948, 1950, 1958, 2062, 2088, 2097, 2115, 2141]",,,,,,,
15,新能源3000,3,3,配送中心(返回),,,19:20,,,,,,,,,,,
15,新能源3000,4,0,配送中心(出发),,,,19:23,,,,3000.0,9.824,149.4,116.27,37.1,29.64,否
15,新能源3000,4,1,客户71,71,否,21:30,21:50,3000.0,9.824,"[309, 406, 573, 599, 616, 673, 825, 1018, 1071, 1113, 1257, 1285, 1332, 1431, 1457, 1563, 1855, 1939, 1975, 1979, 2014]",,,,,,,
15,新能源3000,4,2,配送中心(返回),,,23:56,,,,,,,,,,,
16,燃油3000,1,0,配送中心(出发),,,,9:48,,,,2866.02,8.389,97.11,287.28,30.03,78.97,否
16,燃油3000,1,1,客户88,88,否,10:04,10:24,79.6,0.537,"[642, 1347, 1733]",,,,,,,
16,燃油3000,1,2,客户41,41,否,11:08,12:58,2786.42,7.852,"[316, 405, 473, 544, 589, 591, 593, 683, 686, 830, 843, 952, 968, 984, 994, 1008, 1029, 1233, 1238, 1286, 1297, 1346, 1362, 1656, 1679, 1715, 1719, 1730, 1804, 1805, 1964, 1984, 2075, 2138, 2159]",,,,,,,
16,燃油3000,1,3,配送中心(返回),,,14:00,,,,,,,,,,,
16,燃油3000,2,0,配送中心(出发),,,,14:03,,,,3000.0,7.812,136.94,388.41,0.0,106.77,否
16,燃油3000,2,1,客户75,75,否,15:26,15:46,3000.0,7.812,"[613, 750, 900, 957, 1002, 1034, 1042, 1064, 1173, 1223, 1259, 1350, 1440, 1626, 1651, 1753, 1765, 1771, 1949, 1970, 2087]",,,,,,,
16,燃油3000,2,2,配送中心(返回),,,17:42,,,,,,,,,,,
16,燃油3000,3,0,配送中心(出发),,,,17:45,,,,3000.0,6.843,105.22,302.32,73.3,83.1,否
16,燃油3000,3,1,客户31,31,否,19:14,19:34,3000.0,6.843,"[516, 578, 783, 1185, 1415, 1686, 1688, 1832]",,,,,,,
16,燃油3000,3,2,配送中心(返回),,,21:03,,,,,,,,,,,
17,新能源3000,1,0,配送中心(出发),,,,9:56,,,,3000.0,7.879,36.75,28.67,0.0,7.31,否
17,新能源3000,1,1,客户60,60,否,10:23,10:43,3000.0,7.879,"[338, 353, 412, 418, 442, 482, 522, 570, 577, 608, 693, 734, 789, 803, 819, 829, 899, 1031, 1047, 1054, 1086, 1099, 1109, 1114, 1184, 1193, 1230, 1313, 1326, 1399, 1470, 1522, 1544, 1586, 1609, 1616, 1623, 1664, 1736, 1763, 1793, 1810, 1927, 1931, 1944, 1972, 1980, 2007, 2018, 2026, 2042, 2057, 2065, 2120, 2121, 2137]",,,,,,,
17,新能源3000,1,2,配送中心(返回),,,11:14,,,,,,,,,,,
17,新能源3000,2,0,配送中心(出发),,,,11:17,,,,3000.0,7.879,36.75,28.65,54.71,7.3,否
17,新能源3000,2,1,客户60,60,否,12:42,13:02,3000.0,7.879,"[338, 353, 412, 418, 442, 482, 522, 570, 577, 608, 693, 734, 789, 803, 819, 829, 899, 1031, 1047, 1054, 1086, 1099, 1109, 1114, 1184, 1193, 1230, 1313, 1326, 1399, 1470, 1522, 1544, 1586, 1609, 1616, 1623, 1664, 1736, 1763, 1793, 1810, 1927, 1931, 1944, 1972, 1980, 2007, 2018, 2026, 2042, 2057, 2065, 2120, 2121, 2137]",,,,,,,
17,新能源3000,2,2,配送中心(返回),,,13:22,,,,,,,,,,,
17,新能源3000,3,0,配送中心(出发),,,,13:25,,,,3000.0,7.528,160.9,125.52,0.0,31.99,否
17,新能源3000,3,1,客户56,56,否,14:52,15:12,3000.0,7.528,"[404, 461, 526, 583, 598, 641, 643, 666, 701, 740, 767, 772, 792, 806, 809, 1019, 1035, 1049, 1055, 1097, 1098, 1100, 1146, 1167, 1179, 1205, 1211, 1263, 1324, 1432, 1485, 1486, 1527, 1530, 1565, 1575, 1606, 1692, 1700, 1853, 1883, 1906, 1953, 1956, 1959, 1990, 1994, 2041, 2071, 2085]",,,,,,,
17,新能源3000,3,2,配送中心(返回),,,17:28,,,,,,,,,,,
17,新能源3000,4,0,配送中心(出发),,,,17:31,,,,3000.0,6.82,71.56,55.69,53.23,14.19,否
17,新能源3000,4,1,客户48,48,否,18:32,18:52,3000.0,6.82,"[315, 325, 357, 431, 470, 471, 498, 509, 533, 600, 623, 645, 689, 710, 761, 766, 898, 956, 963, 998, 1107, 1124, 1142, 1153, 1215, 1250, 1291, 1390, 1423, 1482, 1506, 1554, 1566, 1621, 1684, 1712, 1749, 1761, 1764, 1920, 2103, 2109]",,,,,,,
17,新能源3000,4,2,配送中心(返回),,,19:53,,,,,,,,,,,
17,新能源3000,5,0,配送中心(出发),,,,19:56,,,,2246.44,6.245,139.52,103.54,120.64,26.39,否
17,新能源3000,5,1,客户34,34,否,21:19,21:39,364.05,1.521,"[960, 1229, 1253, 1363, 1427, 1443, 1466, 1614, 1969, 2080]",,,,,,,
17,新能源3000,5,2,客户78,78,否,22:09,22:29,1882.39,4.724,"[487, 657, 698, 793, 908, 945, 1022, 1121, 1188, 1199, 1484, 1559, 1646, 1655, 1704, 1707, 1865, 2060, 2139, 2152]",,,,,,,
17,新能源3000,5,3,配送中心(返回),,,24:32,,,,,,,,,,,
18,燃油3000,1,0,配送中心(出发),,,,9:56,,,,3000.0,7.879,36.75,104.23,0.0,28.65,否
18,燃油3000,1,1,客户60,60,否,10:23,10:43,3000.0,7.879,"[338, 353, 412, 418, 442, 482, 522, 570, 577, 608, 693, 734, 789, 803, 819, 829, 899, 1031, 1047, 1054, 1086, 1099, 1109, 1114, 1184, 1193, 1230, 1313, 1326, 1399, 1470, 1522, 1544, 1586, 1609, 1616, 1623, 1664, 1736, 1763, 1793, 1810, 1927, 1931, 1944, 1972, 1980, 2007, 2018, 2026, 2042, 2057, 2065, 2120, 2121, 2137]",,,,,,,
18,燃油3000,1,2,配送中心(返回),,,11:14,,,,,,,,,,,
18,燃油3000,2,0,配送中心(出发),,,,11:17,,,,3000.0,9.181,113.85,324.1,0.0,89.09,否
18,燃油3000,2,1,客户61,61,否,13:37,13:57,3000.0,9.181,"[439, 464, 472, 555, 656, 659, 660, 702, 708, 778, 788, 810, 975, 977, 1067, 1080, 1087, 1103, 1108, 1132, 1136, 1241, 1251, 1345, 1379, 1469, 1529, 1535, 1555, 1825, 1838, 1903, 1934, 2015, 2059, 2099, 2143]",,,,,,,
18,燃油3000,2,2,配送中心(返回),,,14:60,,,,,,,,,,,
18,燃油3000,3,0,配送中心(出发),,,,15:03,,,,3000.0,7.634,178.18,511.94,51.3,140.73,否
18,燃油3000,3,1,客户52,52,否,17:34,17:54,3000.0,7.634,"[331, 340, 350, 426, 428, 451, 459, 494, 565, 588, 619, 621, 626, 627, 662, 671, 700, 709, 735, 762, 909, 928, 938, 970, 982, 1001, 1024, 1079, 1126, 1221, 1222, 1252, 1262, 1445, 1571, 1610, 1650, 1677, 1722, 1723, 1740, 1748, 1776, 1788, 1808, 1844, 1900, 1957, 1996, 2021, 2031, 2125, 2131, 2154]",,,,,,,
18,燃油3000,3,2,配送中心(返回),,,20:25,,,,,,,,,,,
19,新能源3000,1,0,配送中心(出发),,,,20:10,,,,3000.0,8.11,140.98,109.72,59.51,27.97,否
19,新能源3000,1,1,客户50,50,否,22:09,22:29,3000.0,8.11,"[345, 374, 394, 401, 480, 604, 665, 676, 684, 711, 712, 716, 733, 758, 759, 787, 838, 892, 947, 955, 965, 1137, 1149, 1163, 1240, 1266, 1290, 1300, 1322, 1372, 1511, 1588, 1594, 1612, 1639, 1693, 1731, 1806, 1837, 1877, 1893, 1896, 1899, 1911, 1974, 1981, 2035, 2038, 2052, 2081, 2092, 2096, 2122, 2142, 2144]",,,,,,,
19,新能源3000,1,2,配送中心(返回),,,24:29,,,,,,,,,,,
19,新能源3000,2,0,配送中心(出发),,,,13:09,,,,2959.11,7.855,182.83,139.63,81.78,35.59,否
19,新能源3000,2,1,客户30,30,否,13:27,13:47,334.85,0.732,"[1382, 1439, 1850, 1961]",,,,,,,
19,新能源3000,2,2,客户13,13,是,14:09,14:29,540.09,1.279,"[28, 36, 72, 92, 180, 270, 278]",,,,,,,
19,新能源3000,2,3,客户3,3,是,14:55,15:15,235.02,0.703,"[1, 116, 165, 212, 265]",,,,,,,
19,新能源3000,2,4,客户89,89,否,15:56,16:31,46.25,0.273,[469],,,,,,,
19,新能源3000,2,5,客户84,84,否,17:08,17:28,1605.26,4.368,"[914, 1129, 1278, 1459, 1494, 1834, 1860, 1921, 1998, 2110]",,,,,,,
19,新能源3000,2,6,客户55,55,否,17:46,18:15,197.65,0.499,"[328, 413, 433, 444, 455, 483, 489, 511, 532, 556, 563, 581, 594, 624, 661, 707, 718, 790, 791, 816, 820, 847, 860, 865, 869, 876, 912, 935, 964, 978, 1044, 1101, 1134, 1156, 1168, 1182, 1207, 1269, 1287, 1342, 1360, 1587, 1595, 1608, 1615, 1671, 1706, 1720, 1789, 1795, 1807, 1831, 1847, 1870, 1945, 1987, 2002, 2045, 2089, 2123, 2136]",,,,,,,
19,新能源3000,2,7,配送中心(返回),,,20:07,,,,,,,,,,,
20,燃油3000,1,0,配送中心(出发),,,,10:07,,,,3000.0,9.181,113.85,346.34,12.41,95.2,否
20,燃油3000,1,1,客户61,61,否,11:40,12:37,3000.0,9.181,"[439, 464, 472, 555, 656, 659, 660, 702, 708, 778, 788, 810, 975, 977, 1067, 1080, 1087, 1103, 1108, 1132, 1136, 1241, 1251, 1345, 1379, 1469, 1529, 1535, 1555, 1825, 1838, 1903, 1934, 2015, 2059, 2099, 2143]",,,,,,,
20,燃油3000,1,2,配送中心(返回),,,13:58,,,,,,,,,,,
20,燃油3000,2,0,配送中心(出发),,,,14:01,,,,2933.96,9.728,118.44,334.71,0.0,92.01,否
20,燃油3000,2,1,客户58,58,否,15:07,15:27,2933.96,9.728,"[382, 407, 436, 441, 495, 499, 514, 549, 620, 672, 780, 812, 849, 872, 896, 905, 983, 991, 1076, 1089, 1096, 1255, 1261, 1276, 1308, 1309, 1319, 1344, 1380, 1450, 1528, 1560, 1581, 1768, 1780, 1859, 1890, 1955, 1985, 1986, 2037, 2040, 2102, 2105]",,,,,,,
20,燃油3000,2,2,配送中心(返回),,,17:08,,,,,,,,,,,
20,燃油3000,3,0,配送中心(出发),,,,17:11,,,,3000.0,6.76,86.87,249.61,51.1,68.62,否
20,燃油3000,3,1,客户65,65,否,18:24,18:44,3000.0,6.76,"[349, 358, 381, 460, 531, 541, 557, 568, 569, 631, 633, 640, 649, 722, 723, 755, 782, 807, 888, 904, 916, 979, 993, 1013, 1061, 1110, 1135, 1265, 1271, 1281, 1282, 1317, 1325, 1366, 1392, 1403, 1464, 1576, 1589, 1660, 1721, 1725, 1732, 1737, 1913, 1930, 1948, 1950, 1958, 2062, 2088, 2097, 2115, 2141]",,,,,,,
20,燃油3000,3,2,配送中心(返回),,,19:58,,,,,,,,,,,
20,燃油3000,4,0,配送中心(出发),,,,20:01,,,,3000.0,8.562,97.75,280.87,68.99,77.21,否
20,燃油3000,4,1,客户62,62,否,21:24,21:44,3000.0,8.562,"[344, 373, 377, 421, 435, 440, 481, 496, 508, 572, 584, 592, 597, 610, 614, 639, 719, 744, 764, 858, 871, 893, 903, 915, 922, 987, 1014, 1028, 1030, 1111, 1131, 1145, 1194, 1234, 1337, 1361, 1367, 1412, 1421, 1422, 1507, 1514, 1550, 1580, 1596, 1603, 1629, 1676, 1713, 1729, 1746, 1762, 1779, 1811, 1824, 1845, 1866, 1878, 1908, 1963, 1965, 1973, 2091]",,,,,,,
20,燃油3000,4,2,配送中心(返回),,,23:07,,,,,,,,,,,
21,燃油3000,1,0,配送中心(出发),,,,10:27,,,,3000.0,8.807,131.67,374.85,0.0,103.04,否
21,燃油3000,1,1,客户74,74,否,13:11,13:31,3000.0,8.807,"[408, 438, 561, 615, 670, 926, 1003, 1060, 1128, 1148, 1226, 1340, 1371, 1383, 1386, 1476, 1842, 1881, 1982, 1989, 1997, 2036, 2053, 2058]",,,,,,,
21,燃油3000,1,2,配送中心(返回),,,14:42,,,,,,,,,,,
21,燃油3000,2,0,配送中心(出发),,,,14:45,,,,2849.77,6.887,96.95,272.7,48.54,74.96,否
21,燃油3000,2,1,客户64,64,否,16:03,16:23,2849.77,6.887,"[367, 376, 391, 411, 515, 528, 566, 636, 680, 687, 691, 714, 738, 756, 798, 815, 880, 985, 1016, 1025, 1066, 1171, 1244, 1334, 1336, 1378, 1436, 1483, 1538, 1547, 1665, 1681, 1694, 1754, 1792, 1813, 1826, 1848, 1849, 1914, 1929, 1951, 1977, 2043, 2050, 2072, 2083, 2093, 2164]",,,,,,,
21,燃油3000,2,2,配送中心(返回),,,17:45,,,,,,,,,,,
21,燃油3000,3,0,配送中心(出发),,,,17:48,,,,2130.12,5.451,117.39,321.02,258.91,88.24,否
21,燃油3000,3,1,客户31,31,否,19:18,19:38,771.62,1.76,"[516, 578, 783, 1185, 1415, 1686, 1688, 1832]",,,,,,,
21,燃油3000,3,2,客户81,81,否,19:54,20:14,1343.61,3.648,"[434, 590, 607, 653, 933, 1284, 1449, 1675, 1735, 1796, 1884, 2061]",,,,,,,
21,燃油3000,3,3,客户2,2,是,20:43,21:03,14.89,0.043,[189],,,,,,,
21,燃油3000,3,4,配送中心(返回),,,22:07,,,,,,,,,,,
22,燃油3000,1,0,配送中心(出发),,,,10:30,,,,2996.47,7.546,145.43,413.93,0.0,113.78,否
22,燃油3000,1,1,客户73,73,否,13:22,13:42,2996.47,7.546,"[307, 348, 388, 423, 519, 525, 534, 537, 823, 841, 1053, 1057, 1068, 1125, 1214, 1219, 1235, 1375, 1408, 1428, 1525, 1567, 1600, 1611, 1644, 1843, 1898, 1919, 2129]",,,,,,,
22,燃油3000,1,2,配送中心(返回),,,15:01,,,,,,,,,,,
22,燃油3000,2,0,配送中心(出发),,,,15:04,,,,3000.0,7.677,60.31,173.3,0.0,47.64,否
22,燃油3000,2,1,客户57,57,否,15:54,16:14,3000.0,7.677,"[313, 369, 456, 479, 512, 527, 543, 550, 551, 675, 688, 721, 776, 811, 813, 864, 878, 913, 940, 948, 959, 962, 1073, 1095, 1141, 1178, 1236, 1246, 1310, 1312, 1417, 1471, 1491, 1582, 1659, 1674, 1680, 1741, 1747, 1767, 1772, 1840, 1922, 1967, 2008, 2020, 2030, 2049, 2161]",,,,,,,
22,燃油3000,2,2,配送中心(返回),,,17:05,,,,,,,,,,,
22,燃油3000,3,0,配送中心(出发),,,,17:08,,,,3000.0,7.955,192.21,552.27,56.16,151.81,否
22,燃油3000,3,1,客户54,54,否,19:51,20:11,3000.0,7.955,"[319, 379, 390, 414, 462, 486, 625, 692, 731, 748, 824, 845, 846, 863, 887, 927, 976, 1052, 1154, 1160, 1175, 1176, 1224, 1391, 1405, 1413, 1426, 1430, 1442, 1474, 1477, 1499, 1503, 1561, 1577, 1598, 1642, 1666, 1668, 1699, 1743, 1759, 1770, 1816, 1830, 1835, 1862, 1882, 1885, 1942, 2004, 2011, 2150, 2167, 2169]",,,,,,,
22,燃油3000,3,2,配送中心(返回),,,22:54,,,,,,,,,,,
23,燃油3000,1,0,配送中心(出发),,,,10:58,,,,3000.0,7.528,160.9,458.07,0.0,125.92,否
23,燃油3000,1,1,客户56,56,否,13:50,14:10,3000.0,7.528,"[404, 461, 526, 583, 598, 641, 643, 666, 701, 740, 767, 772, 792, 806, 809, 1019, 1035, 1049, 1055, 1097, 1098, 1100, 1146, 1167, 1179, 1205, 1211, 1263, 1324, 1432, 1485, 1486, 1527, 1530, 1565, 1575, 1606, 1692, 1700, 1853, 1883, 1906, 1953, 1956, 1959, 1990, 1994, 2041, 2071, 2085]",,,,,,,
23,燃油3000,1,2,配送中心(返回),,,15:58,,,,,,,,,,,
23,燃油3000,2,0,配送中心(出发),,,,16:01,,,,3000.0,9.524,84.71,243.4,30.87,66.91,否
23,燃油3000,2,1,客户45,45,否,17:13,17:33,3000.0,9.524,"[318, 343, 447, 467, 474, 485, 521, 603, 856, 867, 886, 921, 931, 1032, 1046, 1072, 1074, 1106, 1172, 1197, 1210, 1298, 1316, 1374, 1444, 1461, 1467, 1481, 1495, 1515, 1543, 1726, 1863, 1888, 1895, 1928, 1933, 1968, 2010, 2044, 2098, 2112, 2160]",,,,,,,
23,燃油3000,2,2,配送中心(返回),,,18:45,,,,,,,,,,,
23,燃油3000,3,0,配送中心(出发),,,,18:48,,,,2370.07,6.521,167.54,467.09,175.22,128.4,否
23,燃油3000,3,1,客户51,51,否,19:55,20:15,408.38,1.169,"[304, 419, 446, 450, 524, 559, 605, 612, 652, 667, 681, 704, 717, 727, 730, 747, 796, 840, 936, 961, 972, 1006, 1217, 1237, 1245, 1306, 1323, 1369, 1389, 1407, 1416, 1419, 1420, 1438, 1521, 1541, 1546, 1556, 1569, 1691, 1714, 1728, 1812, 1815, 1856, 1875, 1887, 1918, 1932, 1976, 2001, 2029, 2116, 2166]",,,,,,,
23,燃油3000,3,2,客户19,19,否,21:28,21:48,9.37,0.074,[1701],,,,,,,
23,燃油3000,3,3,客户50,50,否,22:12,22:32,1952.31,5.278,"[345, 374, 394, 401, 480, 604, 665, 676, 684, 711, 712, 716, 733, 758, 759, 787, 838, 892, 947, 955, 965, 1137, 1149, 1163, 1240, 1266, 1290, 1300, 1322, 1372, 1511, 1588, 1594, 1612, 1639, 1693, 1731, 1806, 1837, 1877, 1893, 1896, 1899, 1911, 1974, 1981, 2035, 2038, 2052, 2081, 2092, 2096, 2122, 2142, 2144]",,,,,,,
23,燃油3000,3,4,配送中心(返回),,,24:32,,,,,,,,,,,
24,燃油3000,1,0,配送中心(出发),,,,14:52,,,,3000.0,6.76,86.87,246.4,0.0,67.73,否
24,燃油3000,1,1,客户65,65,否,15:57,16:17,3000.0,6.76,"[349, 358, 381, 460, 531, 541, 557, 568, 569, 631, 633, 640, 649, 722, 723, 755, 782, 807, 888, 904, 916, 979, 993, 1013, 1061, 1110, 1135, 1265, 1271, 1281, 1282, 1317, 1325, 1366, 1392, 1403, 1464, 1576, 1589, 1660, 1721, 1725, 1732, 1737, 1913, 1930, 1948, 1950, 1958, 2062, 2088, 2097, 2115, 2141]",,,,,,,
24,燃油3000,1,2,配送中心(返回),,,17:31,,,,,,,,,,,
24,燃油3000,2,0,配送中心(出发),,,,17:34,,,,3000.0,6.82,71.56,205.6,55.22,56.52,否
24,燃油3000,2,1,客户48,48,否,18:34,18:54,3000.0,6.82,"[315, 325, 357, 431, 470, 471, 498, 509, 533, 600, 623, 645, 689, 710, 761, 766, 898, 956, 963, 998, 1107, 1124, 1142, 1153, 1215, 1250, 1291, 1390, 1423, 1482, 1506, 1554, 1566, 1621, 1684, 1712, 1749, 1761, 1764, 1920, 2103, 2109]",,,,,,,
24,燃油3000,2,2,配送中心(返回),,,19:55,,,,,,,,,,,
24,燃油3000,3,0,配送中心(出发),,,,19:58,,,,3000.0,7.331,122.6,352.27,55.67,96.84,否
24,燃油3000,3,1,客户28,28,否,21:42,22:02,3000.0,7.331,"[558, 773, 901, 1177, 1355, 1946, 2012]",,,,,,,
24,燃油3000,3,2,配送中心(返回),,,23:46,,,,,,,,,,,
24,燃油3000,4,0,配送中心(出发),,,,16:06,,,,3000.0,9.199,66.05,189.79,262.48,52.17,否
24,燃油3000,4,1,客户8,8,是,17:02,17:22,3000.0,9.199,"[5, 6, 12, 21, 22, 26, 27, 31, 39, 42, 48, 50, 53, 56, 67, 73, 74, 78, 80, 82, 85, 90, 93, 94, 97, 98, 106, 109, 117, 121, 130, 134, 135, 138, 140, 141, 143, 147, 160, 164, 167, 169, 171, 173, 174, 175, 178, 182, 185, 193, 197, 198, 199, 202, 225, 226, 233, 241, 242, 247, 249, 250, 252, 255, 261, 268, 272, 275, 291]",,,,,,,
24,燃油3000,4,2,配送中心(返回),,,18:18,,,,,,,,,,,
25,燃油3000,1,0,配送中心(出发),,,,15:01,,,,2131.27,5.772,187.56,493.68,47.01,135.71,否
25,燃油3000,1,1,客户91,91,否,16:40,17:00,70.44,0.391,"[1218, 1239, 1377, 2079]",,,,,,,
25,燃油3000,1,2,客户77,77,否,17:09,19:16,1968.27,5.097,"[323, 335, 493, 560, 749, 821, 868, 1198, 1338, 1368, 1492, 1760, 1818, 1820, 1857, 2090, 2104]",,,,,,,
25,燃油3000,1,3,客户98,98,否,19:39,19:59,25.5,0.065,[958],,,,,,,
25,燃油3000,1,4,客户71,71,否,20:59,21:19,67.07,0.22,"[309, 406, 573, 599, 616, 673, 825, 1018, 1071, 1113, 1257, 1285, 1332, 1431, 1457, 1563, 1855, 1939, 1975, 1979, 2014]",,,,,,,
25,燃油3000,1,5,配送中心(返回),,,23:25,,,,,,,,,,,
25,燃油3000,2,0,配送中心(出发),,,,16:06,,,,3000.0,9.199,66.05,189.79,262.48,52.17,否
25,燃油3000,2,1,客户8,8,是,17:02,17:22,3000.0,9.199,"[5, 6, 12, 21, 22, 26, 27, 31, 39, 42, 48, 50, 53, 56, 67, 73, 74, 78, 80, 82, 85, 90, 93, 94, 97, 98, 106, 109, 117, 121, 130, 134, 135, 138, 140, 141, 143, 147, 160, 164, 167, 169, 171, 173, 174, 175, 178, 182, 185, 193, 197, 198, 199, 202, 225, 226, 233, 241, 242, 247, 249, 250, 252, 255, 261, 268, 272, 275, 291]",,,,,,,
25,燃油3000,2,2,配送中心(返回),,,18:18,,,,,,,,,,,
26,燃油3000,1,0,配送中心(出发),,,,15:05,,,,2598.73,5.908,71.56,201.02,0.0,55.26,否
26,燃油3000,1,1,客户48,48,否,16:06,16:26,2598.73,5.908,"[315, 325, 357, 431, 470, 471, 498, 509, 533, 600, 623, 645, 689, 710, 761, 766, 898, 956, 963, 998, 1107, 1124, 1142, 1153, 1215, 1250, 1291, 1390, 1423, 1482, 1506, 1554, 1566, 1621, 1684, 1712, 1749, 1761, 1764, 1920, 2103, 2109]",,,,,,,
26,燃油3000,1,2,配送中心(返回),,,17:27,,,,,,,,,,,
26,燃油3000,2,0,配送中心(出发),,,,17:30,,,,3000.0,6.843,105.22,302.32,60.67,83.1,否
26,燃油3000,2,1,客户31,31,否,18:59,19:19,3000.0,6.843,"[516, 578, 783, 1185, 1415, 1686, 1688, 1832]",,,,,,,
26,燃油3000,2,2,配送中心(返回),,,20:48,,,,,,,,,,,
26,燃油3000,3,0,配送中心(出发),,,,16:06,,,,2749.55,8.431,66.05,187.15,262.48,51.45,否
26,燃油3000,3,1,客户8,8,是,17:02,17:22,2749.55,8.431,"[5, 6, 12, 21, 22, 26, 27, 31, 39, 42, 48, 50, 53, 56, 67, 73, 74, 78, 80, 82, 85, 90, 93, 94, 97, 98, 106, 109, 117, 121, 130, 134, 135, 138, 140, 141, 143, 147, 160, 164, 167, 169, 171, 173, 174, 175, 178, 182, 185, 193, 197, 198, 199, 202, 225, 226, 233, 241, 242, 247, 249, 250, 252, 255, 261, 268, 272, 275, 291]",,,,,,,
26,燃油3000,3,2,配送中心(返回),,,18:18,,,,,,,,,,,
