车辆ID,车型,第几趟,停靠序号,类型,客户原始ID,是否绿色区客户,到达时刻,离开时刻,该点重量kg,该点体积m3,该点订单编号,累计载重kg,累计体积m3,路线总距离km,行驶能耗元,惩罚元,CO2kg,限行违规
13,燃油3000,2,2,客户65,65,否,17:22,17:42,552.59,1.245,"[349, 358, 381, 460, 531, 541, 557, 568, 569, 631, 633, 640, 649, 722, 723, 755, 782, 807, 888, 904, 916, 979, 993, 1013, 1061, 1110, 1135, 1265, 1271, 1281, 1282, 1317, 1325, 1366, 1392, 1403, 1464, 1576, 1589, 1660, 1721, 1725, 1732, 1737, 1913, 1930, 1948, 1950, 1958, 2062, 2088, 2097, 2115, 2141]",,,,,,,
13,燃油3000,2,3,配送中心(返回),,,18:56,,,,,,,,,,,
13,燃油3000,3,0,配送中心(出发),,,,18:59,,,,2928.82,8.394,117.56,313.56,232.37,86.19,否
13,燃油3000,3,1,客户53,53,否,19:34,19:54,963.85,2.596,"[378, 389, 403, 420, 463, 538, 571, 595, 664, 677, 713, 724, 726, 842, 937, 951, 988, 1051, 1059, 1075, 1084, 1091, 1112, 1115, 1116, 1123, 1152, 1166, 1170, 1200, 1213, 1280, 1295, 1299, 1321, 1451, 1456, 1489, 1505, 1601, 1627, 1641, 1643, 1702, 1766, 1787, 1791, 1799, 1854, 1861, 1892, 1905, 2128, 2134, 2153]",,,,,,,
13,燃油3000,3,2,客户81,81,否,20:23,20:43,1343.61,3.648,"[434, 590, 607, 653, 933, 1284, 1449, 1675, 1735, 1796, 1884, 2061]",,,,,,,
13,燃油3000,3,3,客户34,34,否,20:51,21:11,364.05,1.521,"[960, 1229, 1253, 1363, 1427, 1443, 1466, 1614, 1969, 2080]",,,,,,,
13,燃油3000,3,4,客户28,28,否,21:34,21:54,257.31,0.629,"[558, 773, 901, 1177, 1355, 1946, 2012]",,,,,,,
13,燃油3000,3,5,配送中心(返回),,,23:38,,,,,,,,,,,
14,燃油3000,1,0,配送中心(出发),,,,9:48,,,,2866.02,8.389,97.11,287.28,30.03,78.97,否
14,燃油3000,1,1,客户88,88,否,10:04,10:24,79.6,0.537,"[642, 1347, 1733]",,,,,,,
14,燃油3000,1,2,客户41,41,否,11:08,12:58,2786.42,7.852,"[316, 405, 473, 544, 589, 591, 593, 683, 686, 830, 843, 952, 968, 984, 994, 1008, 1029, 1233, 1238, 1286, 1297, 1346, 1362, 1656, 1679, 1715, 1719, 1730, 1804, 1805, 1964, 1984, 2075, 2138, 2159]",,,,,,,
14,燃油3000,1,3,配送中心(返回),,,14:00,,,,,,,,,,,
14,燃油3000,2,0,配送中心(出发),,,,14:03,,,,2849.77,6.887,96.95,272.7,0.0,74.96,否
14,燃油3000,2,1,客户64,64,否,14:56,15:16,2849.77,6.887,"[367, 376, 391, 411, 515, 528, 566, 636, 680, 687, 691, 714, 738, 756, 798, 815, 880, 985, 1016, 1025, 1066, 1171, 1244, 1334, 1336, 1378, 1436, 1483, 1538, 1547, 1665, 1681, 1694, 1754, 1792, 1813, 1826, 1848, 1849, 1914, 1929, 1951, 1977, 2043, 2050, 2072, 2083, 2093, 2164]",,,,,,,
14,燃油3000,2,2,配送中心(返回),,,16:38,,,,,,,,,,,
14,燃油3000,3,0,配送中心(出发),,,,16:41,,,,3000.0,6.82,71.56,205.6,11.51,56.52,否
14,燃油3000,3,1,客户48,48,否,17:42,18:02,3000.0,6.82,"[315, 325, 357, 431, 470, 471, 498, 509, 533, 600, 623, 645, 689, 710, 761, 766, 898, 956, 963, 998, 1107, 1124, 1142, 1153, 1215, 1250, 1291, 1390, 1423, 1482, 1506, 1554, 1566, 1621, 1684, 1712, 1749, 1761, 1764, 1920, 2103, 2109]",,,,,,,
14,燃油3000,3,2,配送中心(返回),,,19:02,,,,,,,,,,,
14,燃油3000,4,0,配送中心(出发),,,,19:05,,,,3000.0,8.562,97.75,280.87,22.75,77.21,否
14,燃油3000,4,1,客户62,62,否,20:28,20:48,3000.0,8.562,"[344, 373, 377, 421, 435, 440, 481, 496, 508, 572, 584, 592, 597, 610, 614, 639, 719, 744, 764, 858, 871, 893, 903, 915, 922, 987, 1014, 1028, 1030, 1111, 1131, 1145, 1194, 1234, 1337, 1361, 1367, 1412, 1421, 1422, 1507, 1514, 1550, 1580, 1596, 1603, 1629, 1676, 1713, 1729, 1746, 1762, 1779, 1811, 1824, 1845, 1866, 1878, 1908, 1963, 1965, 1973, 2091]",,,,,,,
14,燃油3000,4,2,配送中心(返回),,,22:11,,,,,,,,,,,
15,新能源3000,1,0,配送中心(出发),,,,9:56,,,,3000.0,7.879,36.75,28.67,0.0,7.31,否
15,新能源3000,1,1,客户60,60,否,10:23,10:43,3000.0,7.879,"[338, 353, 412, 418, 442, 482, 522, 570, 577, 608, 693, 734, 789, 803, 819, 829, 899, 1031, 1047, 1054, 1086, 1099, 1109, 1114, 1184, 1193, 1230, 1313, 1326, 1399, 1470, 1522, 1544, 1586, 1609, 1616, 1623, 1664, 1736, 1763, 1793, 1810, 1927, 1931, 1944, 1972, 1980, 2007, 2018, 2026, 2042, 2057, 2065, 2120, 2121, 2137]",,,,,,,
15,新能源3000,1,2,配送中心(返回),,,11:14,,,,,,,,,,,
15,新能源3000,2,0,配送中心(出发),,,,11:17,,,,3000.0,7.879,36.75,28.65,54.71,7.3,否
15,新能源3000,2,1,客户60,60,否,12:42,13:02,3000.0,7.879,"[338, 353, 412, 418, 442, 482, 522, 570, 577, 608, 693, 734, 789, 803, 819, 829, 899, 1031, 1047, 1054, 1086, 1099, 1109, 1114, 1184, 1193, 1230, 1313, 1326, 1399, 1470, 1522, 1544, 1586, 1609, 1616, 1623, 1664, 1736, 1763, 1793, 1810, 1927, 1931, 1944, 1972, 1980, 2007, 2018, 2026, 2042, 2057, 2065, 2120, 2121, 2137]",,,,,,,
15,新能源3000,2,2,配送中心(返回),,,13:22,,,,,,,,,,,
15,新能源3000,3,0,配送中心(出发),,,,13:25,,,,3000.0,7.25,96.95,75.76,0.0,19.31,否
15,新能源3000,3,1,客户64,64,否,14:17,14:37,3000.0,7.25,"[367, 376, 391, 411, 515, 528, 566, 636, 680, 687, 691, 714, 738, 756, 798, 815, 880, 985, 1016, 1025, 1066, 1171, 1244, 1334, 1336, 1378, 1436, 1483, 1538, 1547, 1665, 1681, 1694, 1754, 1792, 1813, 1826, 1848, 1849, 1914, 1929, 1951, 1977, 2043, 2050, 2072, 2083, 2093, 2164]",,,,,,,
15,新能源3000,3,2,配送中心(返回),,,15:42,,,,,,,,,,,
15,新能源3000,4,0,配送中心(出发),,,,15:45,,,,3000.0,8.206,94.36,73.44,0.0,18.72,否
15,新能源3000,4,1,客户63,63,否,17:05,17:25,3000.0,8.206,"[301, 341, 422, 429, 458, 488, 500, 505, 634, 644, 647, 705, 706, 715, 774, 814, 851, 890, 891, 932, 939, 966, 1036, 1041, 1092, 1093, 1180, 1181, 1209, 1243, 1318, 1354, 1364, 1478, 1487, 1553, 1645, 1734, 1738, 1751, 1781, 1868, 1873, 1926, 1947, 1995, 2063, 2067, 2086, 2118, 2156, 2165]",,,,,,,
15,新能源3000,4,2,配送中心(返回),,,18:45,,,,,,,,,,,
15,新能源3000,5,0,配送中心(出发),,,,18:48,,,,3000.0,9.824,149.4,116.27,7.88,29.64,否
15,新能源3000,5,1,客户71,71,否,20:54,21:14,3000.0,9.824,"[309, 406, 573, 599, 616, 673, 825, 1018, 1071, 1113, 1257, 1285, 1332, 1431, 1457, 1563, 1855, 1939, 1975, 1979, 2014]",,,,,,,
15,新能源3000,5,2,配送中心(返回),,,23:21,,,,,,,,,,,
16,燃油3000,1,0,配送中心(出发),,,,9:56,,,,3000.0,7.879,36.75,104.23,0.0,28.65,否
16,燃油3000,1,1,客户60,60,否,10:23,10:43,3000.0,7.879,"[338, 353, 412, 418, 442, 482, 522, 570, 577, 608, 693, 734, 789, 803, 819, 829, 899, 1031, 1047, 1054, 1086, 1099, 1109, 1114, 1184, 1193, 1230, 1313, 1326, 1399, 1470, 1522, 1544, 1586, 1609, 1616, 1623, 1664, 1736, 1763, 1793, 1810, 1927, 1931, 1944, 1972, 1980, 2007, 2018, 2026, 2042, 2057, 2065, 2120, 2121, 2137]",,,,,,,
16,燃油3000,1,2,配送中心(返回),,,11:14,,,,,,,,,,,
16,燃油3000,2,0,配送中心(出发),,,,11:17,,,,3000.0,9.181,113.85,324.1,0.0,89.09,否
16,燃油3000,2,1,客户61,61,否,13:37,13:57,3000.0,9.181,"[439, 464, 472, 555, 656, 659, 660, 702, 708, 778, 788, 810, 975, 977, 1067, 1080, 1087, 1103, 1108, 1132, 1136, 1241, 1251, 1345, 1379, 1469, 1529, 1535, 1555, 1825, 1838, 1903, 1934, 2015, 2059, 2099, 2143]",,,,,,,
16,燃油3000,2,2,配送中心(返回),,,14:60,,,,,,,,,,,
16,燃油3000,3,0,配送中心(出发),,,,15:03,,,,2933.58,7.284,130.75,368.39,6.57,101.27,否
16,燃油3000,3,1,客户57,57,否,15:53,16:13,609.65,1.56,"[313, 369, 456, 479, 512, 527, 543, 550, 551, 675, 688, 721, 776, 811, 813, 864, 878, 913, 940, 948, 959, 962, 1073, 1095, 1141, 1178, 1236, 1246, 1310, 1312, 1417, 1471, 1491, 1582, 1659, 1674, 1680, 1741, 1747, 1767, 1772, 1840, 1922, 1967, 2008, 2020, 2030, 2049, 2161]",,,,,,,
16,燃油3000,3,2,客户44,44,否,17:05,17:25,1552.31,3.964,"[303, 311, 327, 383, 674, 690, 743, 779, 795, 799, 822, 831, 919, 929, 942, 999, 1117, 1144, 1183, 1191, 1201, 1294, 1359, 1385, 1434, 1437, 1479, 1513, 1782, 2064]",,,,,,,
16,燃油3000,3,3,客户31,31,否,17:54,18:14,771.62,1.76,"[516, 578, 783, 1185, 1415, 1686, 1688, 1832]",,,,,,,
16,燃油3000,3,4,配送中心(返回),,,19:43,,,,,,,,,,,
16,燃油3000,4,0,配送中心(出发),,,,19:46,,,,2784.5,8.096,33.06,93.85,15.89,25.8,否
16,燃油3000,4,1,客户47,47,否,20:14,20:34,2784.5,8.096,"[339, 363, 393, 445, 453, 492, 501, 503, 567, 574, 638, 736, 775, 879, 881, 907, 953, 967, 1048, 1081, 1094, 1301, 1358, 1400, 1414, 1542, 1622, 1625, 1630, 1635, 1649, 1652, 1716, 1752, 1917, 2023, 2033, 2126]",,,,,,,
16,燃油3000,4,2,配送中心(返回),,,21:02,,,,,,,,,,,
17,燃油3000,1,0,配送中心(出发),,,,10:07,,,,3000.0,9.181,113.85,346.34,12.41,95.2,否
17,燃油3000,1,1,客户61,61,否,11:40,12:37,3000.0,9.181,"[439, 464, 472, 555, 656, 659, 660, 702, 708, 778, 788, 810, 975, 977, 1067, 1080, 1087, 1103, 1108, 1132, 1136, 1241, 1251, 1345, 1379, 1469, 1529, 1535, 1555, 1825, 1838, 1903, 1934, 2015, 2059, 2099, 2143]",,,,,,,
17,燃油3000,1,2,配送中心(返回),,,13:58,,,,,,,,,,,
17,燃油3000,2,0,配送中心(出发),,,,14:01,,,,2564.55,6.961,211.18,599.54,38.56,164.81,否
17,燃油3000,2,1,客户52,52,否,15:58,16:18,715.39,1.821,"[331, 340, 350, 426, 428, 451, 459, 494, 565, 588, 619, 621, 626, 627, 662, 671, 700, 709, 735, 762, 909, 928, 938, 970, 982, 1001, 1024, 1079, 1126, 1221, 1222, 1252, 1262, 1445, 1571, 1610, 1650, 1677, 1722, 1723, 1740, 1748, 1776, 1788, 1808, 1844, 1900, 1957, 1996, 2021, 2031, 2125, 2131, 2154]",,,,,,,
17,燃油3000,2,2,客户89,89,否,16:58,17:18,46.25,0.273,[469],,,,,,,
17,燃油3000,2,3,客户84,84,否,17:55,18:15,1605.26,4.368,"[914, 1129, 1278, 1459, 1494, 1834, 1860, 1921, 1998, 2110]",,,,,,,
17,燃油3000,2,4,客户55,55,否,18:33,18:53,197.65,0.499,"[328, 413, 433, 444, 455, 483, 489, 511, 532, 556, 563, 581, 594, 624, 661, 707, 718, 790, 791, 816, 820, 847, 860, 865, 869, 876, 912, 935, 964, 978, 1044, 1101, 1134, 1156, 1168, 1182, 1207, 1269, 1287, 1342, 1360, 1587, 1595, 1608, 1615, 1671, 1706, 1720, 1789, 1795, 1807, 1831, 1847, 1870, 1945, 1987, 2002, 2045, 2089, 2123, 2136]",,,,,,,
17,燃油3000,2,5,配送中心(返回),,,20:45,,,,,,,,,,,
18,新能源3000,1,0,配送中心(出发),,,,10:22,,,,2951.86,7.905,174.9,143.77,33.78,36.64,否
18,新能源3000,1,1,客户13,13,是,11:33,12:30,540.09,1.279,"[28, 36, 72, 92, 180, 270, 278]",,,,,,,
18,新能源3000,1,2,客户93,93,否,13:40,13:60,97.7,0.334,"[539, 1617]",,,,,,,
18,新能源3000,1,3,客户3,3,是,14:31,14:53,235.02,0.703,"[1, 116, 165, 212, 265]",,,,,,,
18,新能源3000,1,4,客户97,97,否,15:09,15:29,17.48,0.042,[651],,,,,,,
18,新能源3000,1,5,客户43,43,否,15:51,17:13,2061.58,5.546,"[321, 366, 386, 416, 510, 535, 536, 545, 553, 628, 654, 768, 781, 786, 794, 800, 882, 924, 969, 974, 1033, 1256, 1267, 1356, 1452, 1458, 1493, 1516, 1551, 1602, 1618, 1628, 1750, 1783, 1786, 1938, 1993, 2095, 2114, 2124, 2155]",,,,,,,
18,新能源3000,1,6,配送中心(返回),,,18:18,,,,,,,,,,,
18,新能源3000,2,0,配送中心(出发),,,,18:21,,,,2437.14,6.741,184.5,138.73,194.57,35.36,否
18,新能源3000,2,1,客户51,51,否,19:29,19:49,408.38,1.169,"[304, 419, 446, 450, 524, 559, 605, 612, 652, 667, 681, 704, 717, 727, 730, 747, 796, 840, 936, 961, 972, 1006, 1217, 1237, 1245, 1306, 1323, 1369, 1389, 1407, 1416, 1419, 1420, 1438, 1521, 1541, 1546, 1556, 1569, 1691, 1714, 1728, 1812, 1815, 1856, 1875, 1887, 1918, 1932, 1976, 2001, 2029, 2116, 2166]",,,,,,,
18,新能源3000,2,2,客户19,19,否,21:01,21:21,9.37,0.074,[1701],,,,,,,
18,新能源3000,2,3,客户50,50,否,21:46,22:06,1952.31,5.278,"[345, 374, 394, 401, 480, 604, 665, 676, 684, 711, 712, 716, 733, 758, 759, 787, 838, 892, 947, 955, 965, 1137, 1149, 1163, 1240, 1266, 1290, 1300, 1322, 1372, 1511, 1588, 1594, 1612, 1639, 1693, 1731, 1806, 1837, 1877, 1893, 1896, 1899, 1911, 1974, 1981, 2035, 2038, 2052, 2081, 2092, 2096, 2122, 2142, 2144]",,,,,,,
18,新能源3000,2,4,客户71,71,否,22:28,22:48,67.07,0.22,"[309, 406, 573, 599, 616, 673, 825, 1018, 1071, 1113, 1257, 1285, 1332, 1431, 1457, 1563, 1855, 1939, 1975, 1979, 2014]",,,,,,,
18,新能源3000,2,5,配送中心(返回),,,24:54,,,,,,,,,,,
19,燃油3000,1,0,配送中心(出发),,,,10:27,,,,3000.0,8.807,131.67,374.85,0.0,103.04,否
19,燃油3000,1,1,客户74,74,否,13:11,13:31,3000.0,8.807,"[408, 438, 561, 615, 670, 926, 1003, 1060, 1128, 1148, 1226, 1340, 1371, 1383, 1386, 1476, 1842, 1881, 1982, 1989, 1997, 2036, 2053, 2058]",,,,,,,
19,燃油3000,1,2,配送中心(返回),,,14:42,,,,,,,,,,,
19,燃油3000,2,0,配送中心(出发),,,,14:45,,,,3000.0,7.677,60.31,171.07,0.0,47.02,否
19,燃油3000,2,1,客户57,57,否,15:28,15:48,3000.0,7.677,"[313, 369, 456, 479, 512, 527, 543, 550, 551, 675, 688, 721, 776, 811, 813, 864, 878, 913, 940, 948, 959, 962, 1073, 1095, 1141, 1178, 1236, 1246, 1310, 1312, 1417, 1471, 1491, 1582, 1659, 1674, 1680, 1741, 1747, 1767, 1772, 1840, 1922, 1967, 2008, 2020, 2030, 2049, 2161]",,,,,,,
19,燃油3000,2,2,配送中心(返回),,,16:39,,,,,,,,,,,
19,燃油3000,3,0,配送中心(出发),,,,16:42,,,,2598.73,5.908,71.56,201.02,12.39,55.26,否
19,燃油3000,3,1,客户48,48,否,17:43,18:03,2598.73,5.908,"[315, 325, 357, 431, 470, 471, 498, 509, 533, 600, 623, 645, 689, 710, 761, 766, 898, 956, 963, 998, 1107, 1124, 1142, 1153, 1215, 1250, 1291, 1390, 1423, 1482, 1506, 1554, 1566, 1621, 1684, 1712, 1749, 1761, 1764, 1920, 2103, 2109]",,,,,,,
19,燃油3000,3,2,配送中心(返回),,,19:04,,,,,,,,,,,
19,燃油3000,4,0,配送中心(出发),,,,19:07,,,,3000.0,8.562,97.75,280.87,23.63,77.21,否
19,燃油3000,4,1,客户62,62,否,20:29,20:49,3000.0,8.562,"[344, 373, 377, 421, 435, 440, 481, 496, 508, 572, 584, 592, 597, 610, 614, 639, 719, 744, 764, 858, 871, 893, 903, 915, 922, 987, 1014, 1028, 1030, 1111, 1131, 1145, 1194, 1234, 1337, 1361, 1367, 1412, 1421, 1422, 1507, 1514, 1550, 1580, 1596, 1603, 1629, 1676, 1713, 1729, 1746, 1762, 1779, 1811, 1824, 1845, 1866, 1878, 1908, 1963, 1965, 1973, 2091]",,,,,,,
19,燃油3000,4,2,配送中心(返回),,,22:12,,,,,,,,,,,
20,燃油3000,1,0,配送中心(出发),,,,10:30,,,,2996.47,7.546,145.43,413.93,0.0,113.78,否
20,燃油3000,1,1,客户73,73,否,13:22,13:42,2996.47,7.546,"[307, 348, 388, 423, 519, 525, 534, 537, 823, 841, 1053, 1057, 1068, 1125, 1214, 1219, 1235, 1375, 1408, 1428, 1525, 1567, 1600, 1611, 1644, 1843, 1898, 1919, 2129]",,,,,,,
20,燃油3000,1,2,配送中心(返回),,,15:01,,,,,,,,,,,
20,燃油3000,2,0,配送中心(出发),,,,15:04,,,,3000.0,9.524,84.71,243.4,0.0,66.91,否
20,燃油3000,2,1,客户45,45,否,16:16,16:36,3000.0,9.524,"[318, 343, 447, 467, 474, 485, 521, 603, 856, 867, 886, 921, 931, 1032, 1046, 1072, 1074, 1106, 1172, 1197, 1210, 1298, 1316, 1374, 1444, 1461, 1467, 1481, 1495, 1515, 1543, 1726, 1863, 1888, 1895, 1928, 1933, 1968, 2010, 2044, 2098, 2112, 2160]",,,,,,,
20,燃油3000,2,2,配送中心(返回),,,17:48,,,,,,,,,,,
20,燃油3000,3,0,配送中心(出发),,,,17:51,,,,3000.0,7.575,132.09,379.52,25.76,104.33,否
20,燃油3000,3,1,客户55,55,否,19:43,20:03,3000.0,7.575,"[328, 413, 433, 444, 455, 483, 489, 511, 532, 556, 563, 581, 594, 624, 661, 707, 718, 790, 791, 816, 820, 847, 860, 865, 869, 876, 912, 935, 964, 978, 1044, 1101, 1134, 1156, 1168, 1182, 1207, 1269, 1287, 1342, 1360, 1587, 1595, 1608, 1615, 1671, 1706, 1720, 1789, 1795, 1807, 1831, 1847, 1870, 1945, 1987, 2002, 2045, 2089, 2123, 2136]",,,,,,,
20,燃油3000,3,2,配送中心(返回),,,21:55,,,,,,,,,,,
21,燃油3000,1,0,配送中心(出发),,,,10:58,,,,2832.32,7.296,216.65,621.55,32.28,170.86,否
21,燃油3000,1,1,客户39,39,否,14:08,14:28,1024.89,2.548,"[308, 342, 354, 837, 1050, 1192, 1283, 1488, 1501, 1557, 1632, 1636, 1703, 1718, 2009, 2016, 2054, 2132]",,,,,,,
21,燃油3000,1,2,客户95,95,否,14:47,15:07,109.35,0.297,[1999],,,,,,,
21,燃油3000,1,3,客户26,26,否,15:14,16:10,45.81,0.136,"[452, 1453, 1454]",,,,,,,
21,燃油3000,1,4,客户54,54,否,16:19,17:40,1418.66,3.762,"[319, 379, 390, 414, 462, 486, 625, 692, 731, 748, 824, 845, 846, 863, 887, 927, 976, 1052, 1154, 1160, 1175, 1176, 1224, 1391, 1405, 1413, 1426, 1430, 1442, 1474, 1477, 1499, 1503, 1561, 1577, 1598, 1642, 1666, 1668, 1699, 1743, 1759, 1770, 1816, 1830, 1835, 1862, 1882, 1885, 1942, 2004, 2011, 2150, 2167, 2169]",,,,,,,
21,燃油3000,1,5,客户27,27,否,18:04,18:24,233.6,0.552,"[400, 468, 902, 1043, 1078, 1158, 1190, 1206, 1809]",,,,,,,
21,燃油3000,1,6,配送中心(返回),,,20:37,,,,,,,,,,,
21,燃油3000,2,0,配送中心(出发),,,,20:40,,,,14.89,0.043,76.45,183.23,146.55,50.37,否
21,燃油3000,2,1,客户2,2,是,21:45,22:05,14.89,0.043,[189],,,,,,,
21,燃油3000,2,2,配送中心(返回),,,23:10,,,,,,,,,,,
22,新能源3000,1,0,配送中心(出发),,,,10:58,,,,3000.0,7.459,194.17,151.38,0.0,38.58,否
22,新能源3000,1,1,客户39,39,否,14:08,14:28,3000.0,7.459,"[308, 342, 354, 837, 1050, 1192, 1283, 1488, 1501, 1557, 1632, 1636, 1703, 1718, 2009, 2016, 2054, 2132]",,,,,,,
22,新能源3000,1,2,配送中心(返回),,,16:55,,,,,,,,,,,
22,新能源3000,2,0,配送中心(出发),,,,16:58,,,,2528.14,5.338,67.48,51.29,21.46,13.07,否
22,新能源3000,2,1,客户25,25,否,17:55,18:15,2528.14,5.338,"[1548, 1778, 2017, 2074, 2135]",,,,,,,
22,新能源3000,2,2,配送中心(返回),,,19:12,,,,,,,,,,,
22,新能源3000,3,0,配送中心(出发),,,,19:15,,,,3000.0,8.11,140.98,109.72,13.68,27.97,否
22,新能源3000,3,1,客户50,50,否,21:14,21:34,3000.0,8.11,"[345, 374, 394, 401, 480, 604, 665, 676, 684, 711, 712, 716, 733, 758, 759, 787, 838, 892, 947, 955, 965, 1137, 1149, 1163, 1240, 1266, 1290, 1300, 1322, 1372, 1511, 1588, 1594, 1612, 1639, 1693, 1731, 1806, 1837, 1877, 1893, 1896, 1899, 1911, 1974, 1981, 2035, 2038, 2052, 2081, 2092, 2096, 2122, 2142, 2144]",,,,,,,
22,新能源3000,3,2,配送中心(返回),,,23:34,,,,,,,,,,,
23,燃油3000,1,0,配送中心(出发),,,,10:58,,,,3000.0,7.528,160.9,458.07,0.0,125.92,否
23,燃油3000,1,1,客户56,56,否,13:50,14:10,3000.0,7.528,"[404, 461, 526, 583, 598, 641, 643, 666, 701, 740, 767, 772, 792, 806, 809, 1019, 1035, 1049, 1055, 1097, 1098, 1100, 1146, 1167, 1179, 1205, 1211, 1263, 1324, 1432, 1485, 1486, 1527, 1530, 1565, 1575, 1606, 1692, 1700, 1853, 1883, 1906, 1953, 1956, 1959, 1990, 1994, 2041, 2071, 2085]",,,,,,,
23,燃油3000,1,2,配送中心(返回),,,15:58,,,,,,,,,,,
23,燃油3000,2,0,配送中心(出发),,,,16:01,,,,2692.99,7.366,94.36,266.5,6.01,73.26,否
23,燃油3000,2,1,客户63,63,否,17:21,17:41,2692.99,7.366,"[301, 341, 422, 429, 458, 488, 500, 505, 634, 644, 647, 705, 706, 715, 774, 814, 851, 890, 891, 932, 939, 966, 1036, 1041, 1092, 1093, 1180, 1181, 1209, 1243, 1318, 1354, 1364, 1478, 1487, 1553, 1645, 1734, 1738, 1751, 1781, 1868, 1873, 1926, 1947, 1995, 2063, 2067, 2086, 2118, 2156, 2165]",,,,,,,
23,燃油3000,2,2,配送中心(返回),,,19:01,,,,,,,,,,,
23,燃油3000,3,0,配送中心(出发),,,,19:04,,,,2860.44,8.925,101.91,290.54,12.12,79.87,否
23,燃油3000,3,1,客户67,67,否,20:31,20:51,2860.44,8.925,"[330, 352, 356, 490, 564, 741, 769, 802, 826, 852, 859, 861, 995, 1004, 1009, 1120, 1155, 1162, 1174, 1202, 1231, 1247, 1314, 1327, 1341, 1373, 1429, 1502, 1519, 1534, 1572, 1592, 1640, 1647, 1682, 1689, 1739, 1742, 1744, 1755, 1915, 1935, 1943, 1978, 1992, 2025, 2066, 2094, 2111, 2157]",,,,,,,
23,燃油3000,3,2,配送中心(返回),,,22:17,,,,,,,,,,,
24,燃油3000,1,0,配送中心(出发),,,,10:58,,,,3000.0,7.528,160.9,458.07,0.0,125.92,否
24,燃油3000,1,1,客户56,56,否,13:50,14:10,3000.0,7.528,"[404, 461, 526, 583, 598, 641, 643, 666, 701, 740, 767, 772, 792, 806, 809, 1019, 1035, 1049, 1055, 1097, 1098, 1100, 1146, 1167, 1179, 1205, 1211, 1263, 1324, 1432, 1485, 1486, 1527, 1530, 1565, 1575, 1606, 1692, 1700, 1853, 1883, 1906, 1953, 1956, 1959, 1990, 1994, 2041, 2071, 2085]",,,,,,,
24,燃油3000,1,2,配送中心(返回),,,15:58,,,,,,,,,,,
24,燃油3000,2,0,配送中心(出发),,,,16:01,,,,3000.0,7.955,192.21,552.27,0.12,151.81,否
24,燃油3000,2,1,客户54,54,否,18:44,19:04,3000.0,7.955,"[319, 379, 390, 414, 462, 486, 625, 692, 731, 748, 824, 845, 846, 863, 887, 927, 976, 1052, 1154, 1160, 1175, 1176, 1224, 1391, 1405, 1413, 1426, 1430, 1442, 1474, 1477, 1499, 1503, 1561, 1577, 1598, 1642, 1666, 1668, 1699, 1743, 1759, 1770, 1816, 1830, 1835, 1862, 1882, 1885, 1942, 2004, 2011, 2150, 2167, 2169]",,,,,,,
24,燃油3000,2,2,配送中心(返回),,,21:47,,,,,,,,,,,
25,燃油3000,1,0,配送中心(出发),,,,11:04,,,,2902.28,8.095,131.83,369.08,47.0,101.46,否
25,燃油3000,1,1,客户30,30,否,11:32,11:52,334.85,0.732,"[1382, 1439, 1850, 1961]",,,,,,,
25,燃油3000,1,2,客户82,82,否,13:18,13:38,1493.08,4.673,"[457, 540, 911, 1122, 1248, 1404, 1425, 1536, 1607, 1851, 1867, 1879, 2019]",,,,,,,
25,燃油3000,1,3,客户56,56,否,14:03,14:23,1065.16,2.673,"[404, 461, 526, 583, 598, 641, 643, 666, 701, 740, 767, 772, 792, 806, 809, 1019, 1035, 1049, 1055, 1097, 1098, 1100, 1146, 1167, 1179, 1205, 1211, 1263, 1324, 1432, 1485, 1486, 1527, 1530, 1565, 1575, 1606, 1692, 1700, 1853, 1883, 1906, 1953, 1956, 1959, 1990, 1994, 2041, 2071, 2085]",,,,,,,
25,燃油3000,1,4,客户94,94,否,14:38,14:58,9.19,0.018,[371],,,,,,,
25,燃油3000,1,5,配送中心(返回),,,16:21,,,,,,,,,,,
25,燃油3000,2,0,配送中心(出发),,,,16:24,,,,3000.0,6.76,86.87,249.61,12.55,68.62,否
25,燃油3000,2,1,客户65,65,否,17:38,17:58,3000.0,6.76,"[349, 358, 381, 460, 531, 541, 557, 568, 569, 631, 633, 640, 649, 722, 723, 755, 782, 807, 888, 904, 916, 979, 993, 1013, 1061, 1110, 1135, 1265, 1271, 1281, 1282, 1317, 1325, 1366, 1392, 1403, 1464, 1576, 1589, 1660, 1721, 1725, 1732, 1737, 1913, 1930, 1948, 1950, 1958, 2062, 2088, 2097, 2115, 2141]",,,,,,,
25,燃油3000,2,2,配送中心(返回),,,19:12,,,,,,,,,,,
25,燃油3000,3,0,配送中心(出发),,,,19:15,,,,2804.29,8.004,97.75,277.81,30.44,76.37,否
25,燃油3000,3,1,客户62,62,否,20:38,20:58,2804.29,8.004,"[344, 373, 377, 421, 435, 440, 481, 496, 508, 572, 584, 592, 597, 610, 614, 639, 719, 744, 764, 858, 871, 893, 903, 915, 922, 987, 1014, 1028, 1030, 1111, 1131, 1145, 1194, 1234, 1337, 1361, 1367, 1412, 1421, 1422, 1507, 1514, 1550, 1580, 1596, 1603, 1629, 1676, 1713, 1729, 1746, 1762, 1779, 1811, 1824, 1845, 1866, 1878, 1908, 1963, 1965, 1973, 2091]",,,,,,,
25,燃油3000,3,2,配送中心(返回),,,22:20,,,,,,,,,,,
